iteration,chain,λ,μ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.1654639663338583,0.24584596486639126,-29360.31275883339,3.0,1.0,0.9948710427555008,-29360.31275883339,29360.54944852296,-0.02863901445743977,-0.038961076195846545,2.0,0.0,1.2877340339628276,1.2877340339628276
502,1,0.1654639663338583,0.24584596486639126,-29360.31275883339,1.0,1.0,0.05133967023651301,-29360.31275883339,29363.00947804291,0.0,2.9692915266896307,1.0,0.0,1.2877340339628276,1.2877340339628276
503,1,0.17072503220513435,0.2452073097314685,-29361.43127238114,3.0,1.0,0.7433617016395705,-29361.43127238114,29361.69486285706,0.3270297922681493,0.36027924505106057,1.0,0.0,1.2877340339628276,1.2877340339628276
504,1,0.16188245287123476,0.24168704881404554,-29360.895381907285,3.0,1.0,0.5405179211234689,-29360.895381907285,29362.549981420125,-0.15324779536604183,1.3792394248630444,2.0,0.0,1.2877340339628276,1.2877340339628276
505,1,0.16047221096656217,0.24230193615306275,-29361.464406373114,1.0,1.0,0.8546427762591065,-29361.464406373114,29361.604122265548,0.15707170289533678,0.15707170289533678,1.0,0.0,1.2877340339628276,1.2877340339628276
506,1,0.16047221096656217,0.24230193615306275,-29361.464406373114,1.0,1.0,0.239342708470503,-29361.464406373114,29363.91973807481,0.0,1.4298588274868962,1.0,0.0,1.2877340339628276,1.2877340339628276
507,1,0.1642956111880961,0.24453165739654603,-29360.28280944103,3.0,1.0,0.8778770601706692,-29360.28280944103,29362.417073023033,-0.35875339412814355,0.4562882280260965,2.0,0.0,1.2877340339628276,1.2877340339628276
508,1,0.16508209629772636,0.2560514632049528,-29363.693554303496,3.0,1.0,0.3268021942976412,-29363.693554303496,29364.924662823854,1.836635502131685,2.027032206638978,2.0,0.0,1.2877340339628276,1.2877340339628276
509,1,0.16930421823131994,0.24583430882995616,-29360.932177282102,3.0,1.0,0.9579723918925634,-29360.932177282102,29362.807825614775,-1.617776450017118,-1.617776450017118,2.0,0.0,1.2877340339628276,1.2877340339628276
510,1,0.170816106687347,0.24216221825791698,-29361.39357449726,3.0,1.0,0.9664899962881267,-29361.39357449726,29361.571137000272,0.10594959039008245,-0.1902755904084188,2.0,0.0,1.2877340339628276,1.2877340339628276
511,1,0.16118679805764508,0.23685626489463713,-29362.066900718833,3.0,1.0,0.8338444836960051,-29362.066900718833,29362.36304710506,0.4162381971691502,0.4162381971691502,2.0,0.0,1.2877340339628276,1.2877340339628276
512,1,0.16788979262203427,0.24280670552166608,-29360.393451213255,3.0,1.0,0.883240009762773,-29360.393451213255,29362.304416461044,-0.7340517966185871,-0.7340517966185871,2.0,0.0,1.2877340339628276,1.2877340339628276
513,1,0.16788979262203427,0.24280670552166608,-29360.393451213255,1.0,1.0,0.5051303732311011,-29360.393451213255,29361.101625133753,0.0,0.682938718211517,1.0,0.0,1.2877340339628276,1.2877340339628276
514,1,0.16863487351758008,0.24051523364510904,-29360.723459825374,1.0,1.0,0.8776499138080323,-29360.723459825374,29360.766527312113,0.13050749628746416,0.13050749628746416,1.0,0.0,1.2877340339628276,1.2877340339628276
515,1,0.16863487351758008,0.24051523364510904,-29360.723459825374,1.0,1.0,0.8498753334917382,-29360.723459825374,29361.298493548045,0.0,0.16266560673466302,1.0,0.0,1.2877340339628276,1.2877340339628276
516,1,0.16692022590400923,0.24580916017326523,-29360.385359289736,3.0,1.0,0.929943037647341,-29360.385359289736,29361.330792977555,-0.09630446148730698,0.23593866965165944,2.0,0.0,1.2877340339628276,1.2877340339628276
517,1,0.16919789235343372,0.24746055387983637,-29361.147360242154,3.0,1.0,0.829170480171113,-29361.147360242154,29361.236619729025,0.29401114589200006,0.29401114589200006,2.0,0.0,1.2877340339628276,1.2877340339628276
518,1,0.16366025242530197,0.24601520479079722,-29360.511703342167,3.0,1.0,0.9394994372963593,-29360.511703342167,29361.465627762245,-0.2497247374340077,-0.251156324375188,2.0,0.0,1.2877340339628276,1.2877340339628276
519,1,0.1688671233092082,0.2408646757807192,-29360.7499198526,3.0,1.0,0.3758999412380914,-29360.7499198526,29362.82711626597,0.10515910104368231,2.283398534185835,2.0,0.0,1.2877340339628276,1.2877340339628276
520,1,0.16631523124656966,0.23880664590264847,-29360.617433853775,3.0,1.0,0.9539138914182287,-29360.617433853775,29361.007283999366,0.03037923698866507,0.11466578708495945,1.0,0.0,1.2877340339628276,1.2877340339628276
521,1,0.16588953863032635,0.23627799663129265,-29361.25665323278,3.0,1.0,0.7869216094481537,-29361.25665323278,29361.787147101597,0.3288659687495965,0.39188586312593543,2.0,0.0,1.2877340339628276,1.2877340339628276
522,1,0.16542855534321516,0.23901803648006356,-29360.56358427228,3.0,1.0,0.978975261482062,-29360.56358427228,29361.12032141397,-0.35330201897522784,-0.35330201897522784,2.0,0.0,1.2877340339628276,1.2877340339628276
523,1,0.16978645967313322,0.24400691422182208,-29360.958916959527,3.0,1.0,0.9267507238176232,-29360.958916959527,29361.267484587537,0.034694821795710595,0.16149807500914903,2.0,0.0,1.2877340339628276,1.2877340339628276
524,1,0.16388683248001665,0.2415559663509745,-29360.374402945996,3.0,1.0,0.9460445908162782,-29360.374402945996,29361.269917067417,-0.15867936983704567,0.17657755824620835,1.0,0.0,1.2877340339628276,1.2877340339628276
525,1,0.16388683248001665,0.2415559663509745,-29360.374402945996,3.0,1.0,0.4457068382448373,-29360.374402945996,29363.18005513885,0.0,1.3181691548015806,1.0,0.0,1.2877340339628276,1.2877340339628276
526,1,0.16839174023813197,0.2437528880403478,-29360.51283032155,3.0,1.0,0.6232369701592826,-29360.51283032155,29361.319027222893,0.02035767105189734,0.827074230004655,2.0,0.0,1.2877340339628276,1.2877340339628276
527,1,0.1646459655604217,0.2418392267837819,-29360.253712934737,3.0,1.0,0.7703496114170408,-29360.253712934737,29360.947810724054,-0.06550698436694802,0.4582326462987112,2.0,0.0,1.2877340339628276,1.2877340339628276
528,1,0.16836889220556525,0.23898571367492905,-29360.889863733377,3.0,1.0,0.8195188812483735,-29360.889863733377,29361.087093057315,0.25925475938856835,0.3435293574402749,1.0,0.0,1.2877340339628276,1.2877340339628276
529,1,0.16836889220556525,0.23898571367492905,-29360.889863733377,3.0,1.0,0.41139792908071865,-29360.889863733377,29363.61961358131,0.0,2.417479605155677,1.0,0.0,1.2877340339628276,1.2877340339628276
530,1,0.16526644321275083,0.2478095393797845,-29360.625617266644,3.0,1.0,0.8378335749483541,-29360.625617266644,29361.418569517384,-0.07550040635032929,0.3062336582952412,2.0,0.0,1.2877340339628276,1.2877340339628276
531,1,0.16348967583257762,0.2466358352594992,-29360.62707365691,3.0,1.0,0.9924791227528292,-29360.62707365691,29360.867142112238,-0.05119752626706031,-0.05119752626706031,1.0,0.0,1.2877340339628276,1.2877340339628276
532,1,0.16824167472464202,0.23837294492983496,-29360.983956802575,3.0,1.0,0.44928394122163007,-29360.983956802575,29362.238847147717,0.2137831485233619,1.3535584152778029,2.0,0.0,1.2877340339628276,1.2877340339628276
533,1,0.16689826655454004,0.2481602765135412,-29360.772319809275,3.0,1.0,0.9728869149108593,-29360.772319809275,29361.59645605428,-0.05078576579398941,-0.12099771736757248,2.0,0.0,1.2877340339628276,1.2877340339628276
534,1,0.17109460633429144,0.24175331997018687,-29361.54697175014,3.0,1.0,0.8755920189403404,-29361.54697175014,29361.839521257254,0.12008045585025684,0.3012037798544043,1.0,0.0,1.2877340339628276,1.2877340339628276
535,1,0.15702377189940955,0.24551601130273237,-29363.8402578658,3.0,1.0,0.34535422415305383,-29363.8402578658,29365.26474335293,0.6671023626331589,1.380069480965176,2.0,0.0,1.2877340339628276,1.2877340339628276
536,1,0.17133486239347226,0.24030857477833825,-29361.79940880869,3.0,1.0,1.0,-29361.79940880869,29363.826215477133,-0.5767226533716894,-0.5767226533716894,2.0,0.0,1.2877340339628276,1.2877340339628276
537,1,0.17463878705395716,0.2367793696165384,-29364.660775044198,1.0,1.0,0.36022548642993163,-29364.660775044198,29364.93274751592,1.0210250924137654,1.0210250924137654,1.0,0.0,1.2877340339628276,1.2877340339628276
538,1,0.17091202048437285,0.24089019443766038,-29361.527391294847,3.0,1.0,1.0,-29361.527391294847,29363.72117344722,-1.1165165640850319,-1.4424020938204194,2.0,0.0,1.2877340339628276,1.2877340339628276
539,1,0.16310320549708388,0.24469709112417654,-29360.51031505106,3.0,1.0,0.9472584894260055,-29360.51031505106,29361.670131517836,-0.3221843963947322,-0.3221843963947322,2.0,0.0,1.2877340339628276,1.2877340339628276
540,1,0.16122713302825953,0.24453630953496844,-29361.120735948432,1.0,1.0,0.8394422378204093,-29361.120735948432,29361.161248212327,0.17501761028688634,0.17501761028688634,1.0,0.0,1.2877340339628276,1.2877340339628276
541,1,0.1613496302687482,0.24111390890776804,-29361.152295070005,3.0,1.0,0.9886171877836741,-29361.152295070005,29361.4524520889,0.03474511770400568,-0.2728526070895896,2.0,0.0,1.2877340339628276,1.2877340339628276
542,1,0.1613496302687482,0.24111390890776804,-29361.152295070005,3.0,1.0,0.23415590991259996,-29361.152295070005,29365.895804950615,0.0,2.2103948909934843,2.0,0.0,1.2877340339628276,1.2877340339628276
543,1,0.16370751345061219,0.23985526848645275,-29360.603658014872,3.0,1.0,0.9880318695153734,-29360.603658014872,29361.164699786957,-0.12861938989226473,-0.13403933902372955,1.0,0.0,1.2877340339628276,1.2877340339628276
544,1,0.1638521382648216,0.24702464779955186,-29360.62124008958,3.0,1.0,0.9618267950819405,-29360.62124008958,29361.203483266923,0.010961188669170951,0.109388931083231,2.0,0.0,1.2877340339628276,1.2877340339628276
545,1,0.16285577949824842,0.25160394308215045,-29362.022357676873,1.0,1.0,0.5011210668991629,-29362.022357676873,29362.222842419607,0.6909075565927196,0.6909075565927196,1.0,0.0,1.2877340339628276,1.2877340339628276
546,1,0.16435181441748578,0.24870021560026703,-29360.886155729666,1.0,1.0,1.0,-29360.886155729666,29361.850820658765,-0.5338640705631406,-0.5338640705631406,1.0,0.0,1.2877340339628276,1.2877340339628276
547,1,0.1641613367350785,0.2419853822499348,-29360.302730396015,5.0,1.0,1.0,-29360.302730396015,29360.622235527248,-0.30770442054927116,-0.35398794307548087,2.0,0.0,1.2877340339628276,1.2877340339628276
548,1,0.16411213802914426,0.24468227959030253,-29360.316400135223,3.0,1.0,0.9452535971760798,-29360.316400135223,29360.689125786423,0.004098557990801055,0.13854255971091334,2.0,0.0,1.2877340339628276,1.2877340339628276
549,1,0.1612582426370448,0.24646199975214686,-29361.288548084278,3.0,1.0,0.8363667955945534,-29361.288548084278,29361.31527198,0.32052710967036546,0.32052710967036546,2.0,0.0,1.2877340339628276,1.2877340339628276
550,1,0.16276627931016527,0.24436795145900722,-29360.578771417153,1.0,1.0,1.0,-29360.578771417153,29361.099591035356,-0.24694619222645997,-0.24694619222645997,1.0,0.0,1.2877340339628276,1.2877340339628276
551,1,0.16636148000299922,0.2426835667739958,-29360.189937090727,3.0,1.0,0.7384458612188819,-29360.189937090727,29360.999585343077,-0.1163012492179405,0.5347400290775113,2.0,0.0,1.2877340339628276,1.2877340339628276
552,1,0.17138795401295495,0.24334619775461466,-29361.65684971465,3.0,1.0,0.6911118914115896,-29361.65684971465,29361.745891854127,0.44310653687352897,0.44310653687352897,1.0,0.0,1.2877340339628276,1.2877340339628276
553,1,0.16302115792283708,0.24339039135216328,-29360.487831551847,3.0,1.0,0.5114891140548938,-29360.487831551847,29362.930400164623,-0.34990985237891437,1.364022060046409,2.0,0.0,1.2877340339628276,1.2877340339628276
554,1,0.16264902658817598,0.2419401494065115,-29360.62963561982,3.0,1.0,0.9827649592460275,-29360.62963561982,29360.709370107594,0.05308977262757253,-0.09735205496326671,2.0,0.0,1.2877340339628276,1.2877340339628276
555,1,0.16264902658817598,0.2419401494065115,-29360.62963561982,1.0,1.0,0.1653898492252839,-29360.62963561982,29362.469599397253,0.0,1.7994498693442438,1.0,0.0,1.2877340339628276,1.2877340339628276
556,1,0.1670784486600395,0.240885383455409,-29360.37296128889,3.0,1.0,0.9605500617540389,-29360.37296128889,29360.90228817846,-0.06556416300009005,0.12595991699708975,1.0,0.0,1.2877340339628276,1.2877340339628276
557,1,0.16630695191229924,0.24445715369357843,-29360.214665956173,3.0,1.0,1.0,-29360.214665956173,29360.32270017804,-0.06500917576704524,-0.06500917576704524,2.0,0.0,1.2877340339628276,1.2877340339628276
558,1,0.16573133659041359,0.2484226763293853,-29360.75192926497,1.0,1.0,0.7496146429108084,-29360.75192926497,29360.793193481455,0.2881960139493458,0.2881960139493458,1.0,0.0,1.2877340339628276,1.2877340339628276
559,1,0.16319838831044792,0.2412924881591469,-29360.53546030539,3.0,1.0,0.804952717671317,-29360.53546030539,29362.241380335734,-0.16627800400965498,0.363617546747264,2.0,0.0,1.2877340339628276,1.2877340339628276
560,1,0.16653777064582,0.24572712621622675,-29360.3369901875,3.0,1.0,0.7861085002615269,-29360.3369901875,29360.97048468054,-0.05703941944739199,0.39355732381227426,2.0,0.0,1.2877340339628276,1.2877340339628276
561,1,0.16331457333390884,0.24115816064415135,-29360.521301544686,3.0,1.0,0.9031690374204709,-29360.521301544686,29360.72429590118,0.050549535611935426,0.14211865381366806,2.0,0.0,1.2877340339628276,1.2877340339628276
562,1,0.16351949714331673,0.24573219586086975,-29360.506522788757,3.0,1.0,0.8987107246109763,-29360.506522788757,29361.331171000384,-0.001737981459882576,0.28418068177779787,2.0,0.0,1.2877340339628276,1.2877340339628276
563,1,0.16141035131796963,0.24168029796863424,-29361.07748815068,3.0,1.0,0.5367000772639042,-29361.07748815068,29363.029844035973,0.1700938947396935,1.2573947560813394,2.0,0.0,1.2877340339628276,1.2877340339628276
564,1,0.16329077299726152,0.24444166231144798,-29360.45276891053,3.0,1.0,0.6660906611371713,-29360.45276891053,29362.82800646516,-0.2070821069573867,1.0608218575434876,2.0,0.0,1.2877340339628276,1.2877340339628276
565,1,0.15962919336619108,0.24840220128157425,-29362.437181613815,1.0,1.0,0.501328951659289,-29362.437181613815,29362.456725568427,0.6904928032199678,0.6904928032199678,1.0,0.0,1.2877340339628276,1.2877340339628276
566,1,0.16992660037840676,0.2370672396449372,-29361.82079651632,3.0,1.0,0.7638316143722652,-29361.82079651632,29363.37904732065,-0.07128295134680229,0.49973384870463633,2.0,0.0,1.2877340339628276,1.2877340339628276
567,1,0.16614040010530093,0.23955363906309624,-29360.472874481165,3.0,1.0,1.0,-29360.472874481165,29361.52354709615,-0.5077031885375618,-0.5077031885375618,1.0,0.0,1.2877340339628276,1.2877340339628276
568,1,0.16202910015233932,0.24074631631853347,-29360.932991894693,3.0,1.0,0.654488737041291,-29360.932991894693,29363.06508772575,0.12557456415743218,0.8438936250640836,2.0,0.0,1.2877340339628276,1.2877340339628276
569,1,0.16866776312808884,0.24420083291712305,-29360.602058682936,3.0,1.0,0.5156499975487833,-29360.602058682936,29362.13485371944,-0.15036483618678176,1.3298173582552408,2.0,0.0,1.2877340339628276,1.2877340339628276
570,1,0.16750848848513417,0.2422514288329217,-29360.338115492246,3.0,1.0,0.7534763255724389,-29360.338115492246,29361.70924696004,-0.07862654958444182,0.6466956920448865,2.0,0.0,1.2877340339628276,1.2877340339628276
571,1,0.169015681872796,0.26054732366712957,-29367.10350869485,1.0,1.0,0.02887118049585385,-29367.10350869485,29367.122282464512,3.5449113960894465,3.5449113960894465,1.0,0.0,1.2877340339628276,1.2877340339628276
572,1,0.16730653296025882,0.2467797977860939,-29360.57093823766,7.0,1.0,1.0,-29360.57093823766,29363.912643921532,-3.460235773876775,-3.460235773876775,2.0,0.0,1.2877340339628276,1.2877340339628276
573,1,0.16730653296025882,0.2467797977860939,-29360.57093823766,1.0,1.0,0.8313927419341751,-29360.57093823766,29361.07515126662,0.0,0.18465298213413917,1.0,0.0,1.2877340339628276,1.2877340339628276
574,1,0.1624866915378046,0.2456394728668006,-29360.75275438397,3.0,1.0,0.872171897028417,-29360.75275438397,29361.22898052831,0.01434281485126121,0.23104427846556064,2.0,0.0,1.2877340339628276,1.2877340339628276
575,1,0.1665828668989034,0.24812284045325458,-29360.730760748284,3.0,1.0,0.8576280089353614,-29360.730760748284,29361.293137928707,0.0919261505950999,0.27202604611738934,2.0,0.0,1.2877340339628276,1.2877340339628276
576,1,0.16709144704947976,0.25040648978300434,-29361.390330138718,1.0,1.0,0.7104259459499633,-29361.390330138718,29361.69637021172,0.3418905649559747,0.3418905649559747,1.0,0.0,1.2877340339628276,1.2877340339628276
577,1,0.16715666209695476,0.2354211934213268,-29361.63492024415,3.0,1.0,0.9601032993798198,-29361.63492024415,29362.342688345594,0.1274812765259412,-0.17626728656614432,2.0,0.0,1.2877340339628276,1.2877340339628276
578,1,0.1680652102877355,0.24114607558839757,-29360.518788827074,1.0,1.0,1.0,-29360.518788827074,29361.20168467454,-0.604679977066553,-0.604679977066553,1.0,0.0,1.2877340339628276,1.2877340339628276
579,1,0.168738972896993,0.2366675537518963,-29361.546571326246,1.0,1.0,0.6143097114755789,-29361.546571326246,29361.647978867695,0.48725606192601845,0.48725606192601845,1.0,0.0,1.2877340339628276,1.2877340339628276
580,1,0.1631340058427684,0.23653839679935718,-29361.497531837234,3.0,1.0,0.9939718979466242,-29361.497531837234,29362.082106382655,0.01824982580001233,-0.16685271384267253,2.0,0.0,1.2877340339628276,1.2877340339628276
581,1,0.16052497336964341,0.2358790590396625,-29362.691640265577,3.0,1.0,0.7979814972158651,-29362.691640265577,29363.24765212074,0.4111793622978439,0.4111793622978439,2.0,0.0,1.2877340339628276,1.2877340339628276
582,1,0.16153044554685678,0.24141621648033923,-29361.050604875625,3.0,1.0,1.0,-29361.050604875625,29362.15788243155,-0.7574970727218897,-0.9789208711699757,2.0,0.0,1.2877340339628276,1.2877340339628276
583,1,0.1698345839085597,0.24344318495695577,-29360.961874706827,3.0,1.0,0.5088236288323136,-29360.961874706827,29362.496350910154,-0.05810395272783353,1.3661819469198235,2.0,0.0,1.2877340339628276,1.2877340339628276
584,1,0.1698345839085597,0.24344318495695577,-29360.961874706827,1.0,1.0,0.14425792415594238,-29360.961874706827,29363.56159233469,0.0,1.9361524416126485,1.0,0.0,1.2877340339628276,1.2877340339628276
585,1,0.16759635184934218,0.24205349415038413,-29360.362373752454,3.0,1.0,0.6822193793701782,-29360.362373752454,29362.59064761441,-0.1697026950569125,0.977584243813908,2.0,0.0,1.2877340339628276,1.2877340339628276
586,1,0.16163672579446836,0.2432353231200742,-29360.92554423807,3.0,1.0,0.5057775188161484,-29360.92554423807,29361.98754341017,0.15741225181045593,1.1845087428300758,2.0,0.0,1.2877340339628276,1.2877340339628276
587,1,0.16163672579446836,0.2432353231200742,-29360.92554423807,3.0,1.0,0.6005527949763935,-29360.92554423807,29361.994871799452,0.0,0.9160771391580056,2.0,0.0,1.2877340339628276,1.2877340339628276
588,1,0.16163672579446836,0.2432353231200742,-29360.92554423807,1.0,1.0,0.015625686161840516,-29360.92554423807,29364.68085820386,0.0,4.158839169966086,1.0,0.0,1.2877340339628276,1.2877340339628276
589,1,0.16100612708374756,0.24454219307319278,-29361.216625406916,3.0,1.0,0.971569429029576,-29361.216625406916,29361.391720300006,0.08915007646282902,-0.2300183503102744,2.0,0.0,1.2877340339628276,1.2877340339628276
590,1,0.15997232715389187,0.2382656333858017,-29362.294917195322,1.0,1.0,0.6323920403546706,-29362.294917195322,29362.524092410447,0.458245760135469,0.458245760135469,1.0,0.0,1.2877340339628276,1.2877340339628276
591,1,0.16043651491939093,0.2362578180558269,-29362.609435608163,1.0,1.0,0.804059613454827,-29362.609435608163,29363.442436053825,0.2180818664637627,0.2180818664637627,1.0,0.0,1.2877340339628276,1.2877340339628276
592,1,0.17170528837459742,0.2303718910996201,-29365.536486604156,3.0,1.0,0.5219475469744221,-29365.536486604156,29366.04189386455,1.33536954884039,1.33536954884039,2.0,0.0,1.2877340339628276,1.2877340339628276
593,1,0.16867720595204228,0.23961130510498194,-29360.860401294387,1.0,1.0,1.0,-29360.860401294387,29363.598071454868,-2.097135356747458,-2.097135356747458,1.0,0.0,1.2877340339628276,1.2877340339628276
594,1,0.1652876636451904,0.24677596409811453,-29360.44203442546,3.0,1.0,1.0,-29360.44203442546,29360.9163232283,-0.12044594742837944,-0.12044594742837944,2.0,0.0,1.2877340339628276,1.2877340339628276
595,1,0.1652876636451904,0.24677596409811453,-29360.44203442546,3.0,1.0,0.4096944018499018,-29360.44203442546,29363.26043786364,0.0,1.1934673300747818,1.0,0.0,1.2877340339628276,1.2877340339628276
596,1,0.16427264699795113,0.24351261561922138,-29360.251872304372,3.0,1.0,0.9990582240633338,-29360.251872304372,29360.382811765357,-0.11864754262933275,-0.12662168056340306,2.0,0.0,1.2877340339628276,1.2877340339628276
597,1,0.16427264699795113,0.24351261561922138,-29360.251872304372,1.0,1.0,0.44429278445249587,-29360.251872304372,29360.99630036361,0.0,0.8112715094321175,1.0,0.0,1.2877340339628276,1.2877340339628276
598,1,0.16427264699795113,0.24351261561922138,-29360.251872304372,3.0,1.0,0.48144427967562115,-29360.251872304372,29361.649959092993,0.0,1.4949550225464918,1.0,0.0,1.2877340339628276,1.2877340339628276
599,1,0.16427264699795113,0.24351261561922138,-29360.251872304372,3.0,1.0,0.46830100450019535,-29360.251872304372,29361.72805613072,0.0,1.6505657246707415,1.0,0.0,1.2877340339628276,1.2877340339628276
