iteration,chain,λ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.1800814598973153,-12000.74886593625,1.0,1.0,1.0,-12000.74886593625,12001.4521553315,-0.44173373349440226,-0.44173373349440226,1.0,0.0,1.3987142492800775,1.3987142492800775
502,1,0.18036896923014198,-12000.668380698406,1.0,1.0,1.0,-12000.668380698406,12000.951421034886,-0.04231062218241277,-0.04231062218241277,1.0,0.0,1.3987142492800775,1.3987142492800775
503,1,0.18008656729009961,-12000.747378672197,3.0,1.0,0.9865173644762452,-12000.747378672197,12000.881688564967,0.04128867274266668,-0.06982269372201699,2.0,0.0,1.3987142492800775,1.3987142492800775
504,1,0.18312399521599132,-12000.227318881729,1.0,1.0,1.0,-12000.227318881729,12000.48683156832,-0.2755307720235578,-0.2755307720235578,1.0,0.0,1.3987142492800775,1.3987142492800775
505,1,0.1791631169145183,-12001.050258885803,1.0,1.0,0.6470571628489609,-12001.050258885803,12001.066777617703,0.43532063776729046,0.43532063776729046,1.0,0.0,1.3987142492800775,1.3987142492800775
506,1,0.17917988540876778,-12001.044147760069,3.0,1.0,0.9349031246508273,-12001.044147760069,12001.487174765647,-0.00319678361483966,0.1044861364607641,2.0,0.0,1.3987142492800775,1.3987142492800775
507,1,0.1797322594237466,-12000.85549769241,1.0,1.0,1.0,-12000.85549769241,12001.29070626159,-0.09881849845442048,-0.09881849845442048,1.0,0.0,1.3987142492800775,1.3987142492800775
508,1,0.18116840857348818,-12000.479080045714,1.0,1.0,1.0,-12000.479080045714,12000.808358296737,-0.19812771314173006,-0.19812771314173006,1.0,0.0,1.3987142492800775,1.3987142492800775
509,1,0.18283856916131994,-12000.245550146949,1.0,1.0,1.0,-12000.245550146949,12000.37860916173,-0.12384278224999434,-0.12384278224999434,1.0,0.0,1.3987142492800775,1.3987142492800775
510,1,0.18316141151906742,-12000.22539442096,3.0,1.0,1.0,-12000.22539442096,12000.238604087912,-0.010721933800596162,-0.013879713525966508,2.0,0.0,1.3987142492800775,1.3987142492800775
511,1,0.1826535269920888,-12000.26073078191,3.0,1.0,0.9846464481656868,-12000.26073078191,12000.270253504174,0.01880907901613682,0.023267049869900802,2.0,0.0,1.3987142492800775,1.3987142492800775
512,1,0.1826535269920888,-12000.26073078191,3.0,1.0,0.4645116591535195,-12000.26073078191,12001.70182036043,0.0,1.6863500824601942,1.0,0.0,1.3987142492800775,1.3987142492800775
513,1,0.18288514775358813,-12000.242145837892,1.0,1.0,1.0,-12000.242145837892,12000.268980132505,-0.009885503137411433,-0.009885503137411433,1.0,0.0,1.3987142492800775,1.3987142492800775
514,1,0.18465626948812702,-12000.236141816282,3.0,1.0,1.0,-12000.236141816282,12000.244849916027,-0.0032342114300263347,-0.009369210252771154,2.0,0.0,1.3987142492800775,1.3987142492800775
515,1,0.18465626948812702,-12000.236141816282,3.0,1.0,0.4040351633072586,-12000.236141816282,12001.77659036773,0.0,1.7800331535399891,2.0,0.0,1.3987142492800775,1.3987142492800775
516,1,0.18565351701416408,-12000.337457688393,1.0,1.0,0.9469927626720657,-12000.337457688393,12000.354439529077,0.05446382819900464,0.05446382819900464,1.0,0.0,1.3987142492800775,1.3987142492800775
517,1,0.18565351701416408,-12000.337457688393,1.0,1.0,0.23489362528539326,-12000.337457688393,12001.663821004098,0.0,1.4486225256787293,1.0,0.0,1.3987142492800775,1.3987142492800775
518,1,0.18999296618015915,-12001.632674299952,3.0,1.0,0.6208428244248525,-12001.632674299952,12001.730463554253,0.7037284569505573,0.745262296662986,2.0,0.0,1.3987142492800775,1.3987142492800775
519,1,0.1868629224139775,-12000.559974819178,3.0,1.0,1.0,-12000.559974819178,12001.109297649531,-0.586550816309682,-0.6419964079432248,2.0,0.0,1.3987142492800775,1.3987142492800775
520,1,0.18817623743723347,-12000.923640158084,1.0,1.0,0.8207058661837596,-12000.923640158084,12001.12609982914,0.1975904965911468,0.1975904965911468,1.0,0.0,1.3987142492800775,1.3987142492800775
521,1,0.18436768204220952,-12000.220813341366,1.0,1.0,1.0,-12000.220813341366,12000.558888057363,-0.37908155978766445,-0.37908155978766445,1.0,0.0,1.3987142492800775,1.3987142492800775
522,1,0.19158210283371258,-12002.445415306207,3.0,1.0,0.5103869043113792,-12002.445415306207,12002.47196973532,1.2064741106405563,1.2064741106405563,2.0,0.0,1.3987142492800775,1.3987142492800775
523,1,0.17725543717831677,-12001.894787831101,3.0,1.0,0.4908031019345998,-12001.894787831101,12004.149908463622,-0.1603513343980012,1.6678954795333993,2.0,0.0,1.3987142492800775,1.3987142492800775
524,1,0.1887892999251437,-12001.136375717977,3.0,1.0,0.5644691627022599,-12001.136375717977,12002.910881090962,-0.5015683113888372,1.1888169836456655,2.0,0.0,1.3987142492800775,1.3987142492800775
525,1,0.1887892999251437,-12001.136375717977,1.0,1.0,0.5860800282166564,-12001.136375717977,12002.118369624162,0.0,0.5342989318069158,1.0,0.0,1.3987142492800775,1.3987142492800775
526,1,0.18329651919108578,-12000.219341888373,3.0,1.0,1.0,-12000.219341888373,12000.643760390854,-0.49287549493601546,-0.49736920039504184,1.0,0.0,1.3987142492800775,1.3987142492800775
527,1,0.17978310614933563,-12000.839364069028,1.0,1.0,0.7199811803021025,-12000.839364069028,12000.849634748714,0.328530205782954,0.328530205782954,1.0,0.0,1.3987142492800775,1.3987142492800775
528,1,0.18180526709627445,-12000.36433996375,3.0,1.0,1.0,-12000.36433996375,12000.614409435846,-0.24950558220371022,-0.2964535993651225,2.0,0.0,1.3987142492800775,1.3987142492800775
529,1,0.18375113857034509,-12000.209262681874,1.0,1.0,1.0,-12000.209262681874,12000.28240652541,-0.08258932586795709,-0.08258932586795709,1.0,0.0,1.3987142492800775,1.3987142492800775
530,1,0.1824180744668969,-12000.283880351248,1.0,1.0,0.9610022145523421,-12000.283880351248,12000.284304761726,0.039778565589585924,0.039778565589585924,1.0,0.0,1.3987142492800775,1.3987142492800775
531,1,0.1793399665232674,-12000.986949277394,1.0,1.0,0.6899570042630526,-12000.986949277394,12001.036356799097,0.3711259959945892,0.3711259959945892,1.0,0.0,1.3987142492800775,1.3987142492800775
532,1,0.1793399665232674,-12000.986949277394,1.0,1.0,0.6264169977351962,-12000.986949277394,12001.842229711685,0.0,0.4677389990811207,1.0,0.0,1.3987142492800775,1.3987142492800775
533,1,0.18299244800191136,-12000.234940791732,1.0,1.0,1.0,-12000.234940791732,12000.610259646237,-0.3977288367077563,-0.3977288367077563,1.0,0.0,1.3987142492800775,1.3987142492800775
534,1,0.18892714126902346,-12001.187943909219,3.0,1.0,0.7363323002170473,-12001.187943909219,12001.190995815825,0.5115295434716245,0.5115295434716245,1.0,0.0,1.3987142492800775,1.3987142492800775
535,1,0.17869262541063755,-12001.230994008714,3.0,1.0,0.9949479759050166,-12001.230994008714,12001.241211438582,0.01527209938467422,-0.5067591398383229,2.0,0.0,1.3987142492800775,1.3987142492800775
536,1,0.18180060246774224,-12000.365064767291,1.0,1.0,1.0,-12000.365064767291,12000.871177316641,-0.4556760661289445,-0.4556760661289445,1.0,0.0,1.3987142492800775,1.3987142492800775
537,1,0.1804800772972649,-12000.639040110298,1.0,1.0,0.8653069067923749,-12000.639040110298,12000.727734281598,0.14467102943854115,0.14467102943854115,1.0,0.0,1.3987142492800775,1.3987142492800775
538,1,0.1804800772972649,-12000.639040110298,1.0,1.0,0.48790301929760455,-12000.639040110298,12001.542654903336,0.0,0.717638623826133,1.0,0.0,1.3987142492800775,1.3987142492800775
539,1,0.1804800772972649,-12000.639040110298,1.0,1.0,0.7518220415400558,-12000.639040110298,12001.135872054392,0.0,0.285255629925814,1.0,0.0,1.3987142492800775,1.3987142492800775
540,1,0.18021645783294624,-12000.710254272552,1.0,1.0,0.9632346077035042,-12000.710254272552,12000.939476809439,0.03745827514831035,0.03745827514831035,1.0,0.0,1.3987142492800775,1.3987142492800775
541,1,0.18128228710756947,-12000.456223550875,1.0,1.0,1.0,-12000.456223550875,12000.713137626028,-0.13388395370202488,-0.13388395370202488,1.0,0.0,1.3987142492800775,1.3987142492800775
542,1,0.18128228710756947,-12000.456223550875,1.0,1.0,0.7528881895702595,-12000.456223550875,12000.853214028713,0.0,0.28383854883395543,1.0,0.0,1.3987142492800775,1.3987142492800775
543,1,0.18587742834741586,-12000.370454742562,3.0,1.0,0.9368129571966849,-12000.370454742562,12000.575152619112,-0.04983651666043443,0.11965257304291299,2.0,0.0,1.3987142492800775,1.3987142492800775
544,1,0.18563791560143386,-12000.3352980851,3.0,1.0,1.0,-12000.3352980851,12000.387776154597,-0.018991004670169787,-0.03496309162619582,2.0,0.0,1.3987142492800775,1.3987142492800775
545,1,0.1840990786482922,-12000.212223471826,1.0,1.0,1.0,-12000.212223471826,12000.272381956534,-0.0660425822425168,-0.0660425822425168,1.0,0.0,1.3987142492800775,1.3987142492800775
546,1,0.1840990786482922,-12000.212223471826,1.0,1.0,0.41161442329183606,-12000.212223471826,12000.97855336264,0.0,0.887668233624936,1.0,0.0,1.3987142492800775,1.3987142492800775
547,1,0.18816325237274348,-12000.919428612488,1.0,1.0,0.6831440632800043,-12000.919428612488,12000.926440491128,0.3810495144498418,0.3810495144498418,1.0,0.0,1.3987142492800775,1.3987142492800775
548,1,0.1856745626390828,-12000.340399719367,3.0,1.0,1.0,-12000.340399719367,12000.623902219546,-0.3142903560783452,-0.341457895034182,2.0,0.0,1.3987142492800775,1.3987142492800775
549,1,0.18016665564044695,-12000.724329326122,3.0,1.0,0.34960922294756364,-12000.724329326122,12002.37775448322,0.2590285387905169,1.9816274691056606,2.0,0.0,1.3987142492800775,1.3987142492800775
550,1,0.18237460328209376,-12000.288624736619,1.0,1.0,1.0,-12000.288624736619,12000.543567235944,-0.2303080828387465,-0.2303080828387465,1.0,0.0,1.3987142492800775,1.3987142492800775
551,1,0.18115127438302633,-12000.482607448384,3.0,1.0,0.9213736096665813,-12000.482607448384,12000.529015925085,0.10272883659308718,0.1257331135275308,2.0,0.0,1.3987142492800775,1.3987142492800775
552,1,0.1833163072560441,-12000.21857323096,3.0,1.0,0.9967187313535805,-12000.21857323096,12000.350276901783,-0.14023440551682143,-0.14023440551682143,2.0,0.0,1.3987142492800775,1.3987142492800775
553,1,0.18461285805629887,-12000.233433071393,3.0,1.0,0.9263607014788802,-12000.233433071393,12000.329317842365,0.007250691613080562,0.11714769938043901,2.0,0.0,1.3987142492800775,1.3987142492800775
554,1,0.18419341815626955,-12000.21461568177,1.0,1.0,1.0,-12000.21461568177,12000.226745175398,-0.010082716411488946,-0.010082716411488946,1.0,0.0,1.3987142492800775,1.3987142492800775
555,1,0.18419341815626955,-12000.21461568177,1.0,1.0,0.369637018543212,-12000.21461568177,12001.074742740264,0.0,0.9952337858339888,1.0,0.0,1.3987142492800775,1.3987142492800775
556,1,0.18419341815626955,-12000.21461568177,1.0,1.0,0.2991912586999958,-12000.21461568177,12001.290042477212,0.0,1.2066722488834785,1.0,0.0,1.3987142492800775,1.3987142492800775
557,1,0.18787995929338583,-12000.830595584152,3.0,1.0,0.8049685569848215,-12000.830595584152,12000.839248148119,0.3318649812408694,0.3322565432954434,2.0,0.0,1.3987142492800775,1.3987142492800775
558,1,0.18695715017763231,-12000.581857439467,1.0,1.0,1.0,-12000.581857439467,12000.906073900174,-0.13509630470252887,-0.13509630470252887,1.0,0.0,1.3987142492800775,1.3987142492800775
559,1,0.18695715017763231,-12000.581857439467,1.0,1.0,0.6640766004264331,-12000.581857439467,12001.15054206082,0.0,0.4093577740713954,1.0,0.0,1.3987142492800775,1.3987142492800775
560,1,0.18527099648497994,-12000.28976082417,1.0,1.0,1.0,-12000.28976082417,12000.47520331209,-0.15767402950041287,-0.15767402950041287,1.0,0.0,1.3987142492800775,1.3987142492800775
561,1,0.18357835060033525,-12000.211228109636,3.0,1.0,1.0,-12000.211228109636,12000.248041078574,-0.04202265618732781,-0.04319388983094541,1.0,0.0,1.3987142492800775,1.3987142492800775
562,1,0.18138697954549704,-12000.436111163419,1.0,1.0,0.8872734095401125,-12000.436111163419,12000.438816007216,0.11960210342476785,0.11960210342476785,1.0,0.0,1.3987142492800775,1.3987142492800775
563,1,0.1828673311670181,-12000.243428218784,1.0,1.0,1.0,-12000.243428218784,12000.355589202061,-0.10223111386767414,-0.10223111386767414,1.0,0.0,1.3987142492800775,1.3987142492800775
564,1,0.1819658759923642,-12000.340421376033,1.0,1.0,0.9497871626959492,-12000.340421376033,12000.360802713707,0.05151735875551822,0.05151735875551822,1.0,0.0,1.3987142492800775,1.3987142492800775
565,1,0.18197627583358741,-12000.338942035267,1.0,1.0,1.0,-12000.338942035267,12000.408679655657,-0.0007839840418455424,-0.0007839840418455424,1.0,0.0,1.3987142492800775,1.3987142492800775
566,1,0.18629755221837735,-12000.442443942879,3.0,1.0,0.6867535464319863,-12000.442443942879,12000.968100321566,0.04299791120320151,0.6343164561567392,2.0,0.0,1.3987142492800775,1.3987142492800775
567,1,0.18534306632018305,-12000.297908930788,1.0,1.0,1.0,-12000.297908930788,12000.416612154684,-0.07793713028513594,-0.07793713028513594,1.0,0.0,1.3987142492800775,1.3987142492800775
568,1,0.1842815725723514,-12000.217462614852,1.0,1.0,1.0,-12000.217462614852,12000.260703254045,-0.04317280616851349,-0.04317280616851349,1.0,0.0,1.3987142492800775,1.3987142492800775
569,1,0.1858643204754935,-12000.368419997667,1.0,1.0,0.922114113006014,-12000.368419997667,12000.375242495673,0.08108629626622132,0.08108629626622132,1.0,0.0,1.3987142492800775,1.3987142492800775
570,1,0.1810401040612031,-12000.506056298875,3.0,1.0,0.7543314579428758,-12000.506056298875,12000.87180975351,0.08335458775945881,0.42307071616960457,2.0,0.0,1.3987142492800775,1.3987142492800775
571,1,0.18129109174743838,-12000.454498894998,3.0,1.0,0.984356630832741,-12000.454498894998,12000.610350275785,-0.027221968719459255,0.03801394643778622,2.0,0.0,1.3987142492800775,1.3987142492800775
