dana,dere,dgri,dmel,dmoj,dper,dpse,dsec,dsim,dvir,dwil,dyak
63,58,30,30,30,47,94,54,20,36,233,48
38,66,68,46,25,18,8,144,26,39,16,6
38,42,28,41,26,48,50,37,47,30,30,38
28,38,28,31,27,40,38,36,34,42,19,35
29,43,15,47,6,20,20,49,50,16,16,52
19,37,36,25,15,11,2,68,16,22,9,2
20,32,36,20,11,8,0,57,14,23,7,3
15,17,16,17,15,11,13,16,16,14,15,17
16,10,28,8,16,16,17,9,8,26,18,8
5,7,27,1,19,11,31,28,1,8,15,18
13,13,15,11,14,16,17,16,15,12,13,12
16,15,6,16,6,12,12,17,19,9,10,20
15,10,14,13,11,11,12,16,13,11,15,8
15,11,10,12,11,12,12,11,11,12,11,12
10,12,10,11,12,8,11,11,8,16,8,8
12,10,6,10,6,9,9,9,9,6,13,9
7,7,7,7,7,8,7,8,6,7,7,8
9,4,4,9,3,7,8,8,10,5,8,10
8,7,3,9,5,7,7,6,8,5,12,7
7,7,9,7,6,7,7,7,7,6,7,7
7,6,6,6,9,8,7,6,6,8,6,8
7,8,11,6,5,8,6,7,3,7,6,7
7,7,6,7,7,7,6,6,7,7,7,7
6,8,4,7,7,8,11,4,5,6,7,7
6,6,6,6,6,7,9,6,6,6,6,6
8,2,7,1,8,8,7,10,2,7,8,7
8,7,4,7,6,5,5,8,7,4,3,7
6,6,7,6,6,4,6,6,6,6,6,6
4,4,4,11,2,6,4,8,10,3,3,9
7,5,9,5,4,7,7,5,5,5,4,5
5,6,6,6,6,5,6,4,6,6,6,5
6,5,5,5,5,7,6,6,7,5,5,5
6,6,2,7,5,3,3,6,7,5,5,7
8,6,4,5,4,5,5,4,6,4,3,7
5,6,4,1,6,6,6,5,6,3,6,6
5,6,2,7,3,4,5,7,7,3,3,7
5,4,5,5,5,5,5,4,5,5,5,5
5,5,5,5,5,4,5,4,4,5,5,5
5,5,4,5,4,5,5,4,5,4,6,5
4,4,6,4,5,6,5,4,5,5,4,4
5,5,5,5,5,4,4,5,3,5,4,5
5,5,5,1,4,6,7,6,3,4,4,5
4,6,5,5,6,4,4,5,5,3,3,5
4,4,7,4,6,2,4,4,4,7,5,4
4,7,2,5,3,5,5,6,5,5,1,6
5,5,2,5,2,7,6,4,5,4,3,5
4,5,5,7,4,4,4,2,3,3,6,5
3,4,5,4,8,3,3,7,4,3,4,3
3,2,4,5,3,6,6,4,4,6,3,4
5,4,7,5,3,3,3,4,5,3,3,4
4,4,5,4,4,4,4,4,4,4,4,4
5,5,3,4,5,5,4,4,2,4,5,3
4,4,4,4,3,4,4,4,5,5,4,4
4,3,6,4,4,4,4,4,4,4,3,4
4,4,4,4,5,4,4,4,3,4,4,4
3,4,2,3,3,6,6,4,5,3,5,4
4,3,3,3,4,6,4,7,5,3,3,3
3,7,2,5,1,2,2,8,5,2,4,6
4,4,6,4,3,4,5,4,4,3,2,4
5,4,3,4,2,4,4,5,7,3,1,4
4,4,4,4,4,4,4,4,2,4,4,4
4,4,4,4,4,3,5,4,2,4,4,4
3,5,3,5,2,5,5,4,5,2,2,5
5,7,4,3,4,5,5,3,3,3,1,3
4,4,5,3,4,4,3,4,3,4,3,4
15,4,3,3,2,3,3,3,1,2,2,4
5,5,3,0,5,4,2,5,3,5,4,4
5,5,2,5,3,2,2,4,5,3,4,5
3,4,5,2,5,3,2,4,5,6,3,3
4,3,9,3,5,3,3,3,3,3,3,3
4,4,3,3,4,3,3,3,4,3,6,4
3,4,4,4,4,3,3,3,4,3,4,4
4,3,5,3,4,3,3,3,3,5,3,3
5,4,5,4,2,3,4,4,3,2,2,4
2,3,5,4,3,2,2,2,4,5,5,5
4,4,3,4,3,3,4,3,3,3,3,4
3,4,1,5,1,2,2,4,5,1,3,10
2,4,4,4,3,4,2,8,2,2,3,3
3,3,4,3,2,6,5,3,3,3,3,3
3,3,4,3,4,4,3,4,2,4,3,4
3,3,2,4,4,3,3,5,4,3,2,5
4,4,3,4,3,2,3,4,4,3,3,4
1,1,2,1,3,11,11,1,1,4,4,1
4,2,2,2,6,5,7,2,2,4,2,2
2,3,9,2,3,5,3,2,3,3,3,2
3,4,2,4,2,4,3,4,4,3,3,4
3,4,6,3,2,3,4,3,3,3,3,3
4,3,3,3,2,5,6,3,3,2,3,3
3,5,2,2,3,3,3,4,5,2,3,4
5,3,3,3,2,2,2,3,3,3,6,4
3,3,6,4,1,0,5,3,3,4,4,3
3,3,4,3,4,3,2,3,3,4,4,3
2,2,2,2,2,14,5,2,2,2,2,2
3,3,4,3,3,2,3,4,4,4,3,3
3,3,3,3,3,3,3,3,3,3,6,3
4,2,3,2,2,3,4,3,3,4,6,2
3,3,2,4,1,3,3,4,4,1,2,8
4,1,1,4,2,2,3,2,3,4,7,5
3,3,3,3,3,4,3,4,3,3,3,3
4,3,4,3,4,3,3,2,2,3,3,4
3,2,4,3,4,3,3,4,2,4,3,3
2,2,4,14,1,1,1,3,5,1,1,3
2,4,3,4,2,3,3,3,4,3,3,4
3,2,4,3,4,1,4,3,3,4,3,3
3,3,4,4,2,2,3,3,4,3,3,3
3,3,1,4,3,2,2,2,5,4,4,4
5,4,2,4,2,1,2,4,3,2,1,7
2,2,2,2,3,6,7,2,2,3,4,2
3,3,3,3,3,3,3,3,3,4,3,3
3,3,3,3,3,3,3,4,3,3,3,3
3,3,3,3,4,2,3,3,4,3,3,3
3,3,4,3,3,3,3,3,3,3,3,3
5,3,2,2,5,3,3,3,3,2,2,4
3,3,3,3,3,3,3,3,3,4,3,3
2,5,1,4,1,2,2,2,4,2,7,5
3,3,3,3,3,3,3,4,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,4,3,2,3,3,3
3,4,2,4,2,2,2,4,4,2,2,5
2,3,4,3,3,2,2,3,3,3,5,3
3,3,3,3,3,3,3,3,2,3,4,3
2,3,2,2,3,3,3,3,3,3,5,3
3,3,3,3,5,1,3,3,3,2,3,3
3,3,3,3,3,2,3,3,3,3,3,3
4,3,4,2,3,3,4,3,3,1,1,4
3,3,5,3,2,3,3,3,2,2,3,3
3,3,2,1,3,3,4,3,3,4,2,4
2,3,3,3,3,3,3,3,3,3,3,3
3,2,2,3,2,3,5,2,2,4,3,4
3,2,3,1,3,4,2,4,3,3,3,4
3,3,3,3,3,3,3,4,1,3,3,3
3,3,3,3,3,2,3,3,4,3,2,3
3,3,3,3,3,3,3,3,2,3,3,3
2,3,2,3,4,3,3,3,3,5,1,3
3,3,3,1,3,3,3,3,3,3,3,3
3,3,2,3,2,3,3,3,3,2,2,5
2,5,2,5,1,1,1,5,4,1,2,5
2,3,3,3,3,1,3,5,2,3,3,3
2,2,6,2,5,2,2,2,2,4,3,2
3,4,4,4,3,2,2,3,2,1,1,5
3,3,2,3,2,3,3,3,3,3,3,3
3,2,6,2,3,2,3,3,2,2,3,3
1,1,4,1,1,8,10,1,2,2,2,1
4,2,1,1,3,5,5,2,2,2,3,4
3,3,3,3,2,3,4,3,2,2,3,3
2,3,4,3,3,3,3,3,3,3,2,2
3,3,3,3,3,2,3,3,2,2,3,3
3,3,3,3,2,3,2,3,3,2,3,3
3,3,3,3,2,2,3,3,3,3,2,3
3,3,3,3,3,2,3,3,1,3,3,3
2,3,3,3,3,3,2,3,2,3,3,3
3,2,2,3,2,2,3,2,3,3,4,4
3,3,3,3,2,2,2,3,3,3,3,3
4,4,3,0,2,2,2,4,3,3,1,4
3,4,2,4,2,2,2,2,3,2,2,4
2,3,2,4,2,3,2,3,3,2,3,3
