FamilyID	ptr<0>	mtr<1>	cpa<2>	ath<3>	sly<4>	ugi<5>	cqu<6>	bvu<7>	<8>	<9>	<10>	<11>	<12>	vvi<13>	<14>	<15>	<16>
1	+1	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0
2	+1	+0	+0	+2	+0	-1	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
3	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
4	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
5	+1	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	+0	-1	+0	+0	+0
6	-1	+0	+0	+0	+4	-2	+1	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0
7	+0	+0	-1	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
8	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0
9	+0	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
10	+1	+0	+0	+0	+0	-1	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
11	+0	+0	+0	+0	+0	-1	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
12	+1	+0	+0	+0	+0	+1	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
13	-1	-1	+0	-1	+1	+0	+3	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0
14	+0	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
15	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
16	+0	-1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
17	+1	+0	+0	-1	-1	+0	+3	-2	+0	-1	+0	+0	+0	+4	+0	+0	+0
18	+1	+2	+0	-1	+3	-1	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0
19	+1	+1	+0	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
20	-1	+0	-1	-1	+2	-1	-1	-1	+0	+0	+0	+0	+0	-1	+0	+0	+0
21	+0	+0	+0	+0	+0	-1	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0
22	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
23	+1	+1	+0	+0	+1	-1	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
24	+1	+0	+0	-1	+1	-1	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
