FamilyID	ptr<0>	mtr<1>	cpa<2>	ath<3>	sly<4>	ugi<5>	cqu<6>	bvu<7>	<8>	<9>	<10>	<11>	<12>	vvi<13>	<14>	<15>	<16>
1	2	2	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1
2	2	1	1	3	1	0	2	1	1	1	1	1	1	1	1	1	1
3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
4	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
5	2	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1
6	1	2	1	1	6	0	3	1	2	1	2	2	2	2	2	2	2
7	1	1	0	2	1	1	2	1	1	1	1	1	1	1	1	1	1
8	3	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1
9	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1
11	1	1	1	1	1	0	3	1	1	1	1	1	1	1	1	1	1
12	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
13	1	1	2	1	3	2	5	1	2	2	2	2	2	2	2	2	2
14	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
15	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
16	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
17	3	2	1	0	1	2	5	0	2	1	2	2	2	6	2	2	2
18	3	4	2	1	5	1	2	2	2	2	2	2	2	1	2	2	2
19	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
20	0	1	0	0	3	0	0	0	1	1	1	1	1	0	1	1	1
21	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
22	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
23	2	2	1	1	2	0	2	1	1	1	1	1	1	1	1	1	1
24	2	1	1	0	2	0	2	1	1	1	1	1	1	1	1	1	1
